Product,Business,Name,Designation,Statement
BBPS BOU,Annapurna Finance,Gobinda Chandra Pattanaik,Managing Director,Moving towards BBPS was a crucial step towards digitalisation along with making our organisation future-ready. Setu have been key support from a technical perspective. Our achievement in the space of cashless repayment is a combined effort from every stakeholder and a success story for all other financial service providers.
KYC,Refyne,Sumit Sagar,Associate Director of Product,"We greatly appreciate Setu’s invaluable assistance in optimising our address verification process with the Digilocker API. Their expertise in Fintech APIs, reliability of services, and seamless integration have significantly enhanced our KYC operations. We highly commend Setu for their outstanding address verification solutions and eagerly anticipate further collaboration."
UPI,Pickrr,Yashvika Mittal,Product Marketing Manager,"Payments is a very critical area for e-commerce brands and they have been struggling while working with payment gateways with complex integrations and countless payment methods. With Setu’s UPI deep links, we could build an amazing one-click checkout experience that powers customers payments for all our merchants. Integrating with Setu’s UPI stack was swift and it helped us launch in just a couple of weeks."
KYC,ETMoney,Pukit Benada,Sr Product Manager,Setu is an agile partner with high energy and a strong sense of ownership. Even the UI/UX of their products has been handled in the most customer-centric way. Integrating with their eSign APIs was swift and clean— and now we’re enjoying 30% higher conversion like never before.
UPI,ShareChat,Sagar,Head of Payments,"With Setu, we were able to build a personalised payment checkout experience for multiple user cohorts while offering the best success rates in the industry."
KYC,Kissht,Karan Mehta,CTO,"Setu's innovation is unmatched! Bank account verification via UPI is a process our customers absolutely love. Instead of typing an IFSC code and a 16-digit bank number, customers now have to make a ₹ 1 UPI payment—which is very intuitive for them. And in the response, we get data that cannot be spoofed. For us, it’s a good fraud mitigant. For a customer, it’s a good experience. Our onboarding drop-offs at the bank account stage have dropped from 18-20% to less than 4% now! A huge leap from what we experienced with regular Penny Drop"
BBPS COU,Khyaal,Hemanshu Jain,Founder and CEO,"Khyaal's partnership with Setu on embedded bill payments ensured a seamless experience for our users, senior citizens— enabling them to effortlessly settle bills promptly, all in one place."
BBPS BOU,Ujjivan,Dheemant Thacker,Head of Digital Banking,"After Setu onboarded Ujjivan SFB onto the BBPS platform, all our loan customers can make their loan repayments at their convenience using a wide range of BBPS apps.

This digital mode of loan repayment has seen a healthy double-digit growth month-on-month. Reconciliation of payments is easy with real-time data dashboards. This initiative is the start of a long-term partnership with Setu for loan repayments and other API initiatives of the bank"
BBPS BOU,ZestMoney,Abhishek Pandey,Product Manager,"Integrating on BBPS through Setu was very smooth and their team was prompt in answering all our questions. The widespread reach of the BBPS network offers great convenience and functionality to an end customer. Now, they can pay us directly from any of their favourite UPI apps."
BBPS BOU,IIFL Finance,Jyothi Joshi,Ex-Head of SMB Business,"With Setu’s BBPS platform, We struck gold. 
Their APIs onboarded us on all UPI apps, making loan repayment as simple as a tap. Our loan EMI collection through BBPS has seen a 50% increase. And our cost of collection? Down by 25%. 
"
Insights,Surplus,Rajkumar,Founder and CEO,I have always admired Setu for the finesse and innovation in their products and most importantly the people who work with passion and wear their heart on their sleeve
BBPS BOU,Freo Money,Nikhil Salunke,Product Manager,"Setu has been our reliable partner on repayment collection with links, BBPS services and Reverse Penny Drop. We have got the support on the issue resolution with the expected fervor and intensity everytime."
BBPS COU,ZRPL,Abhik,Product Lead,"Our experience with has been exceptional the use of iframe screens within the BBPS product has been immensely valuable for our business. It has enabled us to expedite our journey to going live, saving us valuable time and resources. We are truly grateful for the team’s support and the efficiency of the BBPS product, which has greatly contributed to our success.




"
BBPS COU,Propzing,Praveen,Founder and CEO,"From the initial confirmation of terms to the seamless agreement signing and hassle-free onboarding, our experience has been remarkably smooth. The outstanding teamwork and support received have made our journey with your company truly exceptional."
KYC,Uni.club,Arush Kapoor,Product Manager,"The team’s promptness has been truly remarkable. Every step of the way, from our initial inquiries to the final delivery of our product, their responsiveness and efficiency have been outstanding. It's reassuring to work with a team that consistently delivers on time"
KYC,Dhan,Anirudha Basak,Product Manager,"The depth of knowledge demonstrated by the team has been nothing short of impressive. Throughout our collaboration, they have consistently showcased a deep understanding of our industry, challenges, and goals."
KYC,Navi,Prajjwal Agrawal,Product Manager,"The one thing we like the most about working with Setu is it’s unique products, and it has truly set itself apart. In a sea of offerings, it stands out as an innovative and distinctive solution that addresses our specific needs in a way that no other product can."
KYC,INDMoney,Dhinesh Potnuru,VP-Product,"What stands out most about our experience with this team is their unwavering commitment to a collaborative culture. They are always on the top of their game, working closely with us to achieve our goals. This dedication to collaboration has been a game-changer for our partnership, as it ensures that we are all aligned and working towards the same objectives. "
Insights,Fold,Akash Nimare,"Co-founder, CEO","In India’s fintech landscape, seamless app experiences are often powered by hidden tech layers. At Fold, Setu stands out as a crucial component. Big cheers to the team for constantly raising the bar!"
UPI,Get Kosh,Aayush Goel,"Co-founder, Director","Our experience with Setu for UPI has been marked by a remarkable trifecta of consistency, precision, and affordability. The team’s commitment to accuracy and reliability has ensured error-free deliverables, complemented by thorough documentation. What sets them apart is not just their quality but also their affordability."
KYC,Groww,Dhruval Rana,Product Manager,"From the outset, our experience with the team at Setu has been exceptional. Their outstanding outbound communication, profound design understanding, and strong personal connection have made our collaboration truly enjoyable. Since day one, the team has been consistently responsive, efficiently resolving our queries and meeting our requests with clarity and precision."
Account Aggregator,Upstox,Aniket Agrawal,Product Manager,"Our partnership with Setu is defined by exceptional dedication and work ethics. They serve as a bridge, not only understanding our needs but also delivering tailored solutions for our customers. Their commitment and work ethic have proven invaluable, consistently exceeding expectations."
KYC,Cosmofeed,"
Aditya Choudhary",Head of Operations,"Working with Setu has been a game-changer for our team. The solid product, and beautiful UI have been the highlight. Additionally, Setu’s comprehensive documentation acts as a guiding light to troubleshoot effortlessly and easily explore advanced features. Setu truly understands the essence of user experience, making collaboration a breeze."
Account Aggregator,Fisdom,Mayank Lavania,Product Manager,"Solutions offered by Setu empower companies to create and streamline products with a keen focus on the customer journey. In our evaluation of various TSPs for AA, Setu stood out for its genuinely end-user-focused approach. Their commitment to a developer-friendly setup and comprehensive documentation ensures a seamless go-live."
KYC,Scripbox,Prateek Benya,Product Lead,"Setu stands out with a robust technology infrastructure that ensures reliability and scalability. The ease of implementation makes onboarding seamless, while timely and helpful support guarantees a smooth experience. Moreover, Setu’s commitment to affordable pricing ensures that cutting-edge solutions are accessible, making it a strategic choice for businesses aiming for efficiency and cost-effectiveness."
KYC,Jai Kisan,Himanshu Yadav,Product Manager,What we love most about Setu is their amazing customer service. They really go the extra mile to help us out whenever we need it. It’s a big reason why we enjoy working with them so much.
