Role,Description,Link,Category,Sub-category
Manager / Senior Manager — Strategic Accounts,,https://app.turbohire.co/get/c1AyZ1h,Business,
Manager — Strategic Accounts — Fintech,,https://app.turbohire.co/get/ZVJyOTB,Business,
Developer Support Engineer,,https://portal.turbohire.co/job/publicjobs/dpcfa6VM3WLFW%2Fo%2FpsqK2D4%2FBvKy9UZAXphGFOh3%2FIcGuwXRADeEy0T%2F5iNzO7Ew?so=wp,Engineering,Dev Support
Engineering Manager — Data Apps,,https://app.turbohire.co/job/publicjobs/6UuE3sldy3ujsR3Cki%2FR0ANnC59z0T4XEYXQ5xhgk6%2F98LHex7AOD91T8gzlfZdf,Engineering,Data
Data Engineer,,https://app.turbohire.co/job/publicjobs/4lDvvnPoz2giEubbrlI_vR28_cwKwuMHTEWV98A9DzK4MBFneiu1RYi8FlGxWIla,Engineering,Data
Tech Lead,,https://app.turbohire.co/job/publicjobs/5Bbz8K_UHjysOPhLpVFcvqotH47GoMgaPyW_hCkN_Qq_XPY6ObIAOfW0zv4d_P%2Fm,Engineering,Data
Data Scientist,,https://app.turbohire.co/job/publicjobs/1f87CeTVjA52xjw8BeY_r4JTuMDq2ROz7tVbvG%2FtUD0GZbrsTOU6zkU_QvdWIUzK,Engineering,Data
SDE III — Backend,,https://app.turbohire.co/job/publicjobs/8JZYsvNs19VfE6PpxkNwgqJ_NSP1LFgs3h8vhZTr0sw6OxKzzCkODmwNhxy2RuWM,Engineering,Data
SDET I,,https://app.turbohire.co/job/publicjobs/K_QUcsXKN7bkCKb9ln6TBjokg1aSfkUNQtEoyTNgSV2jlaBUq9weGOD3Q41HUzQs,Engineering,Automation
Site Reliability Engineer,,https://app.turbohire.co/job/publicjobs/DDIJxChApW6jJRDW7yAcrG9jOpXiwLVZcpCaYZ9a9aDlRZV2ZB3qvtQge46oo4rX,Engineering,Platform
Associate — Audit and Infosec,,https://portal.turbohire.co/job/publicjobs/J9dkOqbjS_V6p8tPvWGg5s2SulNNbQHV_gyu396lMxcteKVrb82pIX%2F1uL6E97DU,Engineering,Audit & InfoSec
Manager – Strategic Partnerships,,https://app.turbohire.co/get/TnU0S3o,Business,
Manager – Banking Partnerships,,https://app.turbohire.co/get/aGdzcXk,Business,
Senior Product Manager,,https://app.turbohire.co/job/publicjobs/LGSRsCgR8WuP2NM6d70k%2FKh9Ac06YmN3FCtCIqsdXeiMt3ZeUW%2FQqa%2Fv5wSxmuKj,Product,Data
